育种者,申请者,登记编号,作物名称,品种名称
北京百幕田种苗有限公司,北京百幕田种苗有限公司,GPD大白菜(2018)111118,大白菜,春秋元帅
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)111138,大白菜,京春娃2号
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)111139,大白菜,京春娃4号
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)111140,大白菜,京夏娃娃菜
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)111141,大白菜,京春绿
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)111142,大白菜,京春白
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)111143,大白菜,京春白2号
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)111144,大白菜,京春黄
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)111145,大白菜,京春黄2号
北京百幕田种苗有限公司,北京百幕田种苗有限公司,GPD大白菜(2019)110004,大白菜,幕田夏杰
北京百幕田种苗有限公司,北京百幕田种苗有限公司,GPD大白菜(2019)110122,大白菜,秋娜
北京百幕田种苗有限公司,北京百幕田种苗有限公司,GPD大白菜(2019)110123,大白菜,百幕田碧春
北京百幕田种苗有限公司,北京百幕田种苗有限公司,GPD大白菜(2019)110124,大白菜,百幕田尚官
北京百幕田种苗有限公司,北京百幕田种苗有限公司,GPD大白菜(2019)110125,大白菜,百幕田尚品
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110126,西瓜,京美10K02
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110143,西瓜,京欣4号
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110144,西瓜,京欣3号
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110145,西瓜,京欣二号
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110146,西瓜,京欣6号
