丰台区应急管理局执法检查公示目录（第三季度6月24日-9月30日）,,,,,,
序号,被检查单位名称,检查日期,执法检查单编号,检查方式是否双随机,检查结论,检查部门
178,北京醉新鲜餐饮管理有限公司,44783,(京丰)应急现记〔2022〕执01124号,否,合格,区应急管理局
179,北京伊百年餐饮管理有限公司,44783,(京丰)应急现记〔2022〕执01127号,否,合格,区应急管理局
180,北京鑫源丽都企业管理有限公司,44783,(京丰)应急现记〔2022〕执01122号,否,合格,区应急管理局
181,北京鑫源丽都企业管理有限公司,44783,(京丰)应急现记〔2022〕执01123号,否,合格,区应急管理局
182,北京京西三兴加油站,44783,(京丰)应急现记〔2022〕执01130号,否,合格,区应急管理局
183,北京市京工物业管理有限责任公司,44783,(京丰)应急现记〔2022〕执01119号,是,不合格（复查以后合格）,区应急管理局
184,北京香色谷轩餐饮管理有限公司,44783,(京丰)应急现记〔2022〕执01115号,否,合格,区应急管理局
185,北京欧世奇商贸有限公司,44783,(京丰)应急现记〔2022〕执01118号,是,合格,区应急管理局
186,北京川渝天下餐饮有限责任公司,44783,(京丰)应急现记〔2022〕执01125号,否,合格,区应急管理局
187,海恩斯莫里斯（上海）商业有限公司北京丰台分公司,44783,(京丰)应急现记〔2022〕执01117号,否,合格,区应急管理局
188,北京市丰台区鸿基培训中心,44783,(京丰)应急现记〔2022〕执01113号,否,合格,区应急管理局
189,北京香色谷轩餐饮管理有限公司,44783,(京丰)应急现记〔2022〕执01114号,否,合格,区应急管理局
190,北京丰益居餐饮有限公司,44783,(京丰)应急现记〔2022〕执01120号,否,合格,区应急管理局
191,北京锦浩轩餐饮文化有限公司,44783,(京丰)应急现记〔2022〕执01126号,否,合格,区应急管理局
192,北京乐购邻居超市,44783,(京丰)应急现记〔2022〕执01116号,否,合格,区应急管理局
193,北京伊尹餐饮管理有限公司万丰路店,44783,(京丰)应急现记〔2022〕执01121号,否,合格,区应急管理局
194,北京建工一建工程建设有限公司,44784,(京丰)应急现记〔2022〕执01154号,否,不合格（复查以后合格）,区应急管理局
195,北京市化工原料公司（顺八条）,44784,(京丰)应急现记〔2022〕执01136号,否,合格,区应急管理局
196,北京公联京华石油有限责任公司柳村南加油站,44784,(京丰)应急现记〔2022〕执01133号,否,合格,区应急管理局
197,眉州东坡餐饮管理（北京）有限公司丰台东大街分公司,44784,(京丰)应急现记〔2022〕执01140号,否,合格,区应急管理局
