id,预售许可证号,项目名称,建设单位,发文编号,交换时间,采集时间
744677,京房售证字(2004)142号,枫桥别墅,北京精达房地产开发有限公司,咸公刑函[2008]007号,2004-04-15 00:00:00.000,2004-04-15 00:00:00.000
744677,京房售证字(2004)142号,枫桥别墅,北京精达房地产开发有限公司,（2007）杭民一初字第137-1号,2004-04-15 00:00:00.000,2004-04-15 00:00:00.000
744677,京房售证字(2004)142号,枫桥别墅,北京精达房地产开发有限公司,（2008）滦初字第1818号,2004-04-15 00:00:00.000,2004-04-15 00:00:00.000
744677,京房售证字(2004)142号,枫桥别墅,北京精达房地产开发有限公司,（2006）二中执字第794号,2004-04-15 00:00:00.000,2004-04-15 00:00:00.000
744677,京房售证字(2004)142号,枫桥别墅,北京精达房地产开发有限公司,(2005)东执字第2365-3号,2004-04-15 00:00:00.000,2004-04-15 00:00:00.000
744677,京房售证字(2004)142号,枫桥别墅,北京精达房地产开发有限公司,咸公刑函[2008]007号,2004-04-15 00:00:00.000,2004-04-15 00:00:00.000
744677,京房售证字(2004)142号,枫桥别墅,北京精达房地产开发有限公司,（2008）滦民初字第1815号,2004-04-15 00:00:00.000,2004-04-15 00:00:00.000
744677,京房售证字(2004)142号,枫桥别墅,北京精达房地产开发有限公司,咸公刑函[2008]007号,2004-04-15 00:00:00.000,2004-04-15 00:00:00.000
253440,京房售证字(2003)144号,银地家园,北京银地房地产开发有限责任公司,（2006）二中执字第400号,2004-03-25 00:00:00.000,2004-03-25 00:00:00.000
121721,京房售证字()396号,蓝堡,北京建华时代房地产有限公司,哈公字第36号,2004-03-18 00:00:00.000,2004-03-18 00:00:00.000
121721,京房售证字()396号,蓝堡,北京建华时代房地产有限公司,哈公字第36号,2004-03-18 00:00:00.000,2004-03-18 00:00:00.000
186841,京房售证字(2004)71号,骏景园北区,北京珠江房地产开发有限公司,(2006)赤民一初字第4号,2004-03-05 00:00:00.000,2004-03-05 00:00:00.000
283438,京房售证字(2003)389号,双花园小区17#地,北京金隅嘉业房地产开发有限公司,（2008）朝民保字第18128号,2004-02-23 00:00:00.000,2004-02-23 00:00:00.000
283438,京房售证字(2003)389号,双花园小区17#地,北京金隅嘉业房地产开发有限公司,(2006)陕执二公字第128-2号,2004-02-23 00:00:00.000,2004-02-23 00:00:00.000
168509,京房售证字(2003)63号,学院国际大厦,北京鸿威房地产开发有限公司,(2007)一中执字第743号,2004-01-09 00:00:00.000,2004-01-09 00:00:00.000
101199,京房售证字(2003)93号,（昆泰国际中心）朝外商业中心,北京昆泰嘉华房地产经营有限公司,（2006）朝民保字第29310号,2003-12-31 00:00:00.000,2003-12-31 00:00:00.000
101199,京房售证字(2003)93号,（昆泰国际中心）朝外商业中心,北京昆泰嘉华房地产经营有限公司,无,2003-12-31 00:00:00.000,2003-12-31 00:00:00.000
101199,京房售证字(2003)93号,（昆泰国际中心）朝外商业中心,北京昆泰嘉华房地产经营有限公司,无,2003-12-31 00:00:00.000,2003-12-31 00:00:00.000
101199,京房售证字(2003)93号,（昆泰国际中心）朝外商业中心,北京昆泰嘉华房地产经营有限公司,（2006）二中民保字第12210号,2003-12-31 00:00:00.000,2003-12-31 00:00:00.000
308277,京房售证字(2003)399号,信义大厦（安外大街综合楼）,北京信义华信房地产开发有限公司,(2005)二中民初字第13883号,2003-12-29 00:00:00.000,2003-12-29 00:00:00.000
142954,京房售证字(2003)420号,逸成东苑,北京泰跃房地产开发有限责任公司,(2006)西执字第3002号,2003-12-24 00:00:00.000,2003-12-24 00:00:00.000
50831,京房售证字(2003)69号,石景雅居,北京天海兆业房地产开发有限公司,(2007)一中民初字第7074号,2003-12-12 00:00:00.000,2003-12-12 00:00:00.000
50831,京房售证字(2003)69号,石景雅居,北京天海兆业房地产开发有限公司,(2007)一中民初字第7908号,2003-12-12 00:00:00.000,2003-12-12 00:00:00.000
50831,京房售证字(2003)69号,石景雅居,北京天海兆业房地产开发有限公司,(2007)一中民初字第7909号,2003-12-12 00:00:00.000,2003-12-12 00:00:00.000
55690,京房售证字(2003)391号,恒润商住中心,北京世纪鼎盛房地产开发有限公司,(2007)海执字第4903号,2003-12-12 00:00:00.000,2003-12-12 00:00:00.000
54370,京房售证字(2003)237号,月亮河休闲寓所,北京凯瑞房地产开发有限公司,(2007)二中民初字第第09591,2003-12-04 00:00:00.000,2003-12-04 00:00:00.000
143199,京房售证字(2003)368号,善美家园,北京善美房地产开发有限责任公司,(2006)二中执字第414号,2003-11-28 00:00:00.000,2003-11-28 00:00:00.000
185786,京房售证字(2003)356号,港湾庭,北京兴隆基置业有限公司,(2006)二中民保字第2792号,2003-11-28 00:00:00.000,2003-11-28 00:00:00.000
185786,京房售证字(2003)356号,港湾庭,北京兴隆基置业有限公司,20060124,2003-11-28 00:00:00.000,2003-11-28 00:00:00.000
185786,京房售证字(2003)356号,港湾庭,北京兴隆基置业有限公司,20060124,2003-11-28 00:00:00.000,2003-11-28 00:00:00.000
185786,京房售证字(2003)356号,港湾庭,北京兴隆基置业有限公司,060124,2003-11-28 00:00:00.000,2003-11-28 00:00:00.000
185786,京房售证字(2003)356号,港湾庭,北京兴隆基置业有限公司,20060124,2003-11-28 00:00:00.000,2003-11-28 00:00:00.000
556317,京房售证字(2003)330号,铂宫国际中心,北京京隆房地产开发有限公司,（2006）二中执字第1139号,2003-11-12 00:00:00.000,2003-11-12 00:00:00.000
556317,京房售证字(2003)330号,铂宫国际中心,北京京隆房地产开发有限公司,（2006）二中执字第00890号,2003-11-12 00:00:00.000,2003-11-12 00:00:00.000
556317,京房售证字(2003)330号,铂宫国际中心,北京京隆房地产开发有限公司,(2008)二中执字第751、1584、1585号,2003-11-12 00:00:00.000,2003-11-12 00:00:00.000
556317,京房售证字(2003)330号,铂宫国际中心,北京京隆房地产开发有限公司,经侦发字[2007]107号,2003-11-12 00:00:00.000,2003-11-12 00:00:00.000
251991,京房售证字(2003)201号,建外SOHO四期,北京红石建外房地产开发有限公司,（2005）执字第10308号,2003-11-03 00:00:00.000,2003-11-03 00:00:00.000
192553,京房售证字(2003)315号,白云时代大厦,北京华安房地产开发有限公司,（2007）西执字第1239号,2003-10-16 00:00:00.000,2003-10-16 00:00:00.000
192553,京房售证字(2003)315号,白云时代大厦,北京华安房地产开发有限公司,（2007）西执字第1239号,2003-10-16 00:00:00.000,2003-10-16 00:00:00.000
192553,京房售证字(2003)315号,白云时代大厦,北京华安房地产开发有限公司,（2007）西执字第1338号,2003-10-16 00:00:00.000,2003-10-16 00:00:00.000
192553,京房售证字(2003)315号,白云时代大厦,北京华安房地产开发有限公司,（2007）西执字第1241号,2003-10-16 00:00:00.000,2003-10-16 00:00:00.000
192553,京房售证字(2003)315号,白云时代大厦,北京华安房地产开发有限公司,（2007）西执字第1238号,2003-10-16 00:00:00.000,2003-10-16 00:00:00.000
192553,京房售证字(2003)315号,白云时代大厦,北京华安房地产开发有限公司,（2007）西执字第1239号,2003-10-16 00:00:00.000,2003-10-16 00:00:00.000
192553,京房售证字(2003)315号,白云时代大厦,北京华安房地产开发有限公司,（2007）西执字第1240号,2003-10-16 00:00:00.000,2003-10-16 00:00:00.000
1132184,京房售证字()1144号,柏联别墅,北京城启房地产开发有限公司,(2009)一中执字第354号,2003-09-30 00:00:00.000,2003-09-30 00:00:00.000
1132184,京房售证字()1144号,柏联别墅,北京城启房地产开发有限公司,"(2001)沪二中执字第1181.1182,1183号",2003-09-30 00:00:00.000,2003-09-30 00:00:00.000
1132184,京房售证字()1144号,柏联别墅,北京城启房地产开发有限公司,"(2001)沪二中执字第1181,1182,1183号",2003-09-30 00:00:00.000,2003-09-30 00:00:00.000
1132184,京房售证字()1144号,柏联别墅,北京城启房地产开发有限公司,(2008)一中执字第2046号,2003-09-30 00:00:00.000,2003-09-30 00:00:00.000
88517,京房售证字(2003)83号,通典铭居,北京福润达房地产开发有限公司,（2005）通民初字第8045,2003-09-29 00:00:00.000,2003-09-29 00:00:00.000
272526,京房售证字(2003)272号,核桃园小区住宅楼,北京广安融盛投资有限公司,（2005）宣执字第1392号,2003-09-08 00:00:00.000,2003-09-08 00:00:00.000
272526,京房售证字(2003)272号,核桃园小区住宅楼,北京广安融盛投资有限公司,（2005）宣执字第1392号,2003-09-08 00:00:00.000,2003-09-08 00:00:00.000
