序号,项目名称,项目来源,落地时间,项目类型,投资类型,投资额（万元）,社会信用代码,落地后效果描述,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Keewifi研发中心,石景山区,2019年前,其他类项目,内资（民营企业投资）,1000,,1.经济效益：                      (1)拉动企业同期投资及后续投资：                     北京囡宝科技有限公司团队控股，股权结构健康。股东既有美国上市公司，也有国内一线基金，还有产业引导基金等，目前已完成3850万的融资。                           （2）社会成本的节约：               产品不需要佩戴，没有人为漏报，只要有wifi就可以监测，极大地节约社会成本。产技术优势，利用司空见惯的wifi信号就可以作业，且准确率高，不需要耗费人力物力安装摄像头等监控产品。       （3）促进企业能力提升和全球化布局                 2.技术效益：                       我司主要研究人工智能感知技术，自主研发的近场认证技术和电磁波探测技术是基于电磁波的智能感知识别技术，该技术开辟了光波、声波之外的第三感知领域，并取得30余项发明专利和软件著作权。 公司已与猎豹移动、宝马、飞利浦等公司建立合作。                           3.社会效益：                    （1）提高城市管理水平：产品后续的监测平台还会采集家庭人员身体活动数据，并建立针对该家庭的数据算法模型，进行健康管理并给出建议。            （2）促进产业升级，行业进步：有效解决老年人的看护、健康管理和便捷就医等问题，与医疗资源形成有效互动，提高社会资源使用效率。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,中荷人寿北京分公司,石景山区,2019年前,实体类项目,外资（中外合资或合作）,,91110101769903030M,中荷人寿保险有限公司成立于2002年，注册资本金23.5亿元，是一家极具成长潜质和特色鲜明的合资寿险公司，由北京银行与法国巴黎保险集团共同出资设立，各出资占比50%。该机构业务范围覆盖环渤海经济圈、中原经济区、长三角经济圈，已为30多万客户提供保险服务，资产规模超过160亿元。中荷人寿保险有限公司北京分公司是中荷人寿第一家省级分公司，2019年上半年实现收入5.88亿元、税收1208.81万元。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,万上科创中心,丰台区,2019年前,平台服务类项目,内资（民营企业投资）,35000,91110106MA0074H8X3,搭建航空航天向技术成果转化、信息交流平台和科技金融服务平台及企业信用体系，整合航空航天及服务机构资源。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,马家堡新荟城购物中心,丰台区,2019年2季度,实体类项目,外资（外商独资）,5800,9110106MA017BWH92,提升了周边地区的商业品质，5月开业至今实现销售额1.4亿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,新城广场 (New Town Plaza),丰台区,2019年3季度,实体类项目,外资（外商独资）,50000,91110101MA01CMXDX8,方便了社区居民生活，增加了方庄地区的消费供给，三季度实现销售额5800万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,和品集团有限公司,丰台区,2019年,实体类项目,外资（中外合资或合作）,10222,91110106051420099R,扩大我区实际利用外资规模。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,朴厚大有（北京）科技有限公司,丰台区,2019年,实体类项目,外资（外商独资）,3500,91110106MA01M06067,扩大我区实际利用外资规模。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,北京富通润恒企业管理有限公司,丰台区,2019年,实体类项目,外资（外商独资）,1028,91110106MA01H96A5G,扩大我区实际利用外资规模。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,北京轻舟智航智能技术有限公司,丰台区,2019年,实体类项目,外资（外商独资）,1022,91110106MA01JYGX6F,扩大我区实际利用外资规模。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,铭丰大厦项目,丰台区,2019年前,实体类项目,外资（外商独资）,111270.5,911100000695615279,提高丽泽金融商务局区内商务楼宇品质，加强产业招商。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,聚杰大厦项目,丰台区,2019年前,实体类项目,外资（中外合资或合作）,224649,911100000695615279,提高丽泽金融商务局区内商务楼宇品质，加强产业招商。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,汇亚大厦项目,丰台区,2019年前,实体类项目,外资（中外合资或合作）,199710.9,91110000069561543Y,提高丽泽金融商务局区内商务楼宇品质，加强产业招商。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,北京金唐戴德梁行物业管理有限公司,丰台区,2019年3季度,实体类项目,外资（中外合资或合作）,500,91110106MA01LT0Q4U,提高丽泽金融商务局区内商务楼宇品质，加强产业招商。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,北京奥赛康药业股份有限公司,丰台区,2019年,实体类项目,外资（中外合资或合作）,240856,91110000108283057Y,扩大我区实际利用外资规模。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,北京联行网络科技有限公司,丰台区,2019年1季度,实体类项目,内资（国有企业投资）,10000,91110106MA01H3BQ1K,符合丽泽金融商务区“信息高速路”规划理念，将提升科技信息类企业总体水平，吸引高科技优质企业入驻丽泽。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,北京融资担保投资集团有限公司,丰台区,2019年2季度,实体类项目,内资（国有企业投资）,600000,91110000MA01JW2U7N,该公司属于新兴金融企业，符合丽泽金融商务区产业定位，有利于带动同行优质企业入驻丽泽。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,北京首璟丰泰管理咨询中心（有限合伙）,丰台区,2019年1季度,实体类项目,外资（中外合资或合作）,600000,91110000MA01H8FC6M,该公司以投资咨询管理为主要业务，符合丽泽金融商务区产业定位，有利于带动同行优质企业入驻丽泽。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,九泰基金管理有限公司北京分公司,丰台区,2019年1季度,实体类项目,内资（民营企业投资）,,91110106MA01J5EX49,该公司以基金募集、销售、管理为主要业务，符合丽泽金融商务区产业定位，有利于带动同行优质企业入驻丽泽。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,北京丰首产业投资基金中心（有限合伙）,丰台区,2019年1季度,实体类项目,内资（政府资金支持）,202000,91110106MA01HHA194,该公司以非证券业务投资、投资管理、咨询为主营业务，符合丽泽金融商务区产业定位，有利于带动同行优质企业入驻丽泽。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,北京普亲春风养老服务有限公司,丰台区,2019年3季度,实体类项目,内资（民营企业投资）,1634.5,91110106MA01CE4K0C,为丰台居民提供医养结合、康复护理、居家、心理慰藉、“非药物干预”等服务,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,北京全景德康医学影像诊断中心,丰台区,2019年4季度,实体类项目,内资（民营企业投资）,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,国家集成电路产业投资基金2期（暂定名）,经济技术开发区,2019年4季度,实体类项目,内资（国有企业投资）,20415000,91110000MA01N9JK2F,于2019年10月22日完成工商注册，注册资本2041.5亿元，2019年度实缴5%，即102.075亿元，预计分7年完成全部实缴，具体进度以实际发生为准,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Club Med Joyview 北京延庆度假村（一期）,延庆区,2019年3季度,实体类项目,外资（中外合资或合作）,90000,91110229080497319T,年营业收入：3094.18万元，年营业利润：383.36万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,智慧神州环保监测技术平台项目,延庆区,2019年3季度,平台服务类项目,内资（民营企业投资）,11275,,该项目整合智慧环保监测预警信息化平台。主要建设内容包括：互联网+天空地一体化环境监测网、大气环境监测网络、水环境监测网络、声环境监测网络、污染源监测网络、环境立体监测、建设生态环境数据资源中心、构建生态环境网格化监测系统。预期效益3000万/年。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,北京八达岭国际葡萄酒交易中心有限公司,延庆区,2019年前,实体类项目,内资（国有企业投资）,6375.58,911102290741649997,提供仓储物流、保税寄售、进口代理、进出口报关报检、包装和中文背标整改等业务，服务保障冬奥会。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135, 祥图（中国）有限公司,延庆区,2019年2季度,实体类项目,内资（民营企业投资）,10000,91110229MA01KR9Q03,从事综合零售，已由外商独资企业转为内资企业。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,北京锐地刚科技有限公司,延庆区,2019年2季度,实体类项目,外资（外商独资）,200,91110229MA01KK2L6E,促进我区体育产业集聚效应进一步加强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,北京魔法体育咨询有限公司,延庆区,2019年3季度,实体类项目,外资（外商独资）,5,91110229MA01L41Q2U,促进我区体育产业集聚。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,森源达花木（北京）科技有限公司,延庆区,2019年3季度,实体类项目,外资（中外合资或合作）,200,91110229MA01L1MT2R,促进我区园艺产业集聚。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,北京瑞伯兰商贸有限公司,延庆区,2019年3季度,实体类项目,外资（外商独资）,500,91110229MA01KBNL53,服务保障世园会。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140, 北京篙嗤餐饮管理有限公司,延庆区,2019年2季度,实体类项目,外资（外商独资）,200,91110229MA01L3GR3X,服务保障世园会，准备迁往大兴。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141, 北京莎莎利发商贸有限责任公司,延庆区,2019年3季度,实体类项目,外资（外商独资）,200,91110229MA01KCP92B,服务保障世园会，更名为北京艺洲美珠商贸有限公司。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,北京合立珊得商贸有限责任公司,延庆区,2019年3季度,实体类项目,外资（外商独资）,200,91110229MA01K9L56W,服务保障世园会（已于10月31日注销）。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,北京环球影城主题公园度假区,通州区,2019年前,其他类项目,外资（中外合资或合作）,4608856,91110000082812693T（首寰公司）91110000MA019CJN99(度假区公司),该项目将文化创意、主题旅游、科技创新等技术与产业进行融合，产业链长、带动效应大，对落实城市副中心主导功能、推进副中心产业开发、促进京津冀协同发展有重要作用；同时对北京加快构建“高精尖”经济结构、推进服务业扩大开放、促进旅游业转型升级具有重要意义，一期工程预计年接待客流量1100万人次左右。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,中国艺术品交易中心,通州区,2019年前,平台服务类项目,内资（国有企业投资）,255934,,该项目在培育文化创意产业，提升中国艺术品产业博览会品牌效应方面，对于北京市建设全国文化中心和国际交往中心以及提升区域价值、强化文化创意产业竞争力、聚集文化创意人才具有重要意义。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,特斯联集团总部,通州区,2019年3季度,实体类项目,内资（国有企业投资）,3000000,91110102MA00235671,该项目已完成增资手续，由20亿元增资至50亿元，预计年产值超125亿，创造税收超2.5亿，到2020年有望创造税收10-25亿。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,京杭广场希尔顿酒店项目,通州区,2019年前,实体类项目,内资（民营企业投资）,120000,91110112697716737P,该项目为副中心第一家国际连锁五星级酒店，预计2020年中旬开业，开业后将进一步提升副中心在旅游度假、商务会议、文化交流等方面的综合服务能力。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
