序号,企业名称,行政相对人代码,资质证书编号,资质证书等级,许可日期,有效期至,许可机关
165,北京万佳房地产开发有限公司,91110112717740903A,TZ-A-X8626,二级,2023/4/10,2026/4/9,北京市住房和城乡建设委员会
166,北京兴和航泰置业有限公司,91110115MA04B9RN53,DX-A-X2023,二级,2023/2/15,2025/6/20,北京市住房和城乡建设委员会
167,北京兴源创成房地产开发有限公司,91110115355274262N,DX-A-X6224,二级,2023/3/24,2026/3/23,北京市住房和城乡建设委员会
168,北京城建兴顺房地产开发有限公司,91110113MA0012DG15,SY-A-X6117,二级,2023/2/8,2025/8/16,北京市住房和城乡建设委员会
169,北京昌益房地产开发有限公司,91110115MA00DP5J3H,DX-A-X9196,二级,2023/3/10,2026/3/9,北京市住房和城乡建设委员会
170,北京振海房地产开发有限责任公司,91110228700241665X,MY-A-3038,二级,2023/3/7,2026/3/6,北京市住房和城乡建设委员会
171,北京朝意房地产开发有限公司,91110105MA04BM3181,CY-A-X2035,二级,2023/3/23,2025/6/7,北京市住房和城乡建设委员会
172,北京昊远隆基房地产开发有限公司,91110111102754372D,FS-A-1314,二级,2023/3/7,2026/3/6,北京市住房和城乡建设委员会
173,北京新城基业投资发展有限公司,9111000075332531X2,TZ-A-4186,二级,2023/2/13,2025/12/12,北京市住房和城乡建设委员会
174,北京东环望京房地产有限公司,91110000739352629Q,CY-B-3780,二级,2023/4/4,2025/12/29,北京市住房和城乡建设委员会
175,北京新城兴业房地产开发有限公司,9111011555137106XR,DX-A-7174,二级,2023/3/23,2026/3/22,北京市住房和城乡建设委员会
176,北京碧和信泰置业有限公司,91110115MA019K2C2X,DX-A-X1010,二级,2023/3/15,2026/3/14,北京市住房和城乡建设委员会
177,北京龙腾房地产开发有限公司,911101067226156725,FT-A-11038,二级,2023/3/15,2026/3/14,北京市住房和城乡建设委员会
178,国瑞兴业(北京)实业股份有限公司,91110000700229797A,DC-A-11032,二级,2023/2/23,2026/2/22,北京市住房和城乡建设委员会
179,北京诚于德房地产开发有限公司,91110000MA007QQB1U,TZ-A-X1198,二级,2023/3/2,2025/9/22,北京市住房和城乡建设委员会
180,北京智汇英才安居置业有限公司,91110112MA01HY548B,TZ-A-X1451,二级,2023/2/15,2025/5/17,北京市住房和城乡建设委员会
181,北京中关村丰台园道丰科技商务园建设发展有限公司,911101067461064501,FT-B-4010,二级,2023/2/2,2026/2/1,北京市住房和城乡建设委员会
182,北京樾茂房地产开发有限公司,91110112MAC4FBHB2D,TZ-A-11026,二级,2023/2/14,2026/2/13,北京市住房和城乡建设委员会
183,北京住总京顺房地产开发有限公司,91110113MA00FU8Q4B,SY-A-X9398,二级,2023/2/15,2025/9/19,北京市住房和城乡建设委员会
184,北京市平谷区联扶实业管理有限公司,91110117MABU5A0U4C,PA-A-8853,二级,2023/2/27,2026/2/26,北京市住房和城乡建设委员会
185,北京翔能置业有限公司,91110228MA00BDNM90,MY-A-X8595,二级,2023/3/10,2026/3/9,北京市住房和城乡建设委员会
186,北京中铁永兴房地产开发有限公司,91110108MA00AGP718,HD-A-8733,二级,2023/3/29,2026/3/28,北京市住房和城乡建设委员会
187,北京市海淀区玉渊潭农工商总公司,91110108101895982Q,HD-A-6512,二级,2023/4/10,2026/4/9,北京市住房和城乡建设委员会
188,北京沃坤经城投资有限公司,91110111MA0017L568,FS-A-8561,二级,2023/2/28,2026/2/27,北京市住房和城乡建设委员会
189,北京金隅长阳嘉业房地产开发有限公司,91110111082825232B,FS-A-8523,二级,2023/3/10,2026/1/19,北京市住房和城乡建设委员会
190,北京京南住房开发有限责任公司,911101151028449258,DX-A-1752,二级,2023/2/13,2025/6/30,北京市住房和城乡建设委员会
191,北京保利通房地产开发有限公司,91110112071669705T,TZ-A-X2177,二级,2023/3/29,2025/12/29,北京市住房和城乡建设委员会
192,北京旭辉当代置业有限公司,91110117076551271C,PG-A-7373,二级,2023/4/4,2026/4/3,北京市住房和城乡建设委员会
193,北京辰轩置业有限公司,91110109MA04GAGFXB,MT-A-10601,二级,2023/2/8,2025/6/30,北京市住房和城乡建设委员会
194,北京万永房地产开发有限公司,91110108MA00ADR255,HD-A-8734,二级,2023/3/29,2026/3/28,北京市住房和城乡建设委员会
195,北京亦庄博润置业有限公司,91110302744705089M,JK-A-3326,二级,2023/2/22,2025/6/29,北京市住房和城乡建设委员会
196,北京长龙房地产开发有限公司,91110111102814101B,FS-A-11027,二级,2023/2/10,2026/2/9,北京市住房和城乡建设委员会
197,北京滨湖恒兴房地产开发有限公司,91110111MA018WMH81,FS-A-8600,二级,2023/2/21,2026/2/20,北京市住房和城乡建设委员会
198,北京首钢建设投资有限公司,91110000556827660M,SJ-A-6400,二级,2023/3/20,2026/3/19,北京市住房和城乡建设委员会
199,北京金良兴业房地产开发有限公司,91110111MA00EH9P1R,FS-A-8589,二级,2023/6/16,2026/6/15,北京市住房和城乡建设委员会
200,北京中关村延庆园建设发展有限公司,911102293067237039,YQ-A-X4802,二级,2023/3/13,2025/11/30,北京市住房和城乡建设委员会
201,北京住总众邦地产有限公司,91110109089649550Y,MT-A-X3053,二级,2023/3/21,2026/3/20,北京市住房和城乡建设委员会
202,北京榆树庄园房地产开发有限公司,911101067400652808,FT-A-1116,二级,2023/3/29,2026/3/28,北京市住房和城乡建设委员会
203,北京首城山水置业有限公司,91110116MA01H40606,HR-A-X1768,二级,2023/2/8,2025/8/16,北京市住房和城乡建设委员会
