行政处罚决定书文号,处罚依据,处罚类别,处罚决定日期
顺环保监察罚字〔2022〕058号,依据《北京市大气污染防治条例》第一百零八条第一款的规定,罚款,2022-09-26
顺环保监察罚字〔2022〕45号,《中华人民共和国行政处罚法》第二十八条第一款和《北京市大气污染防治条例》第一百零八条第一款的规定,罚款,2022-09-26
顺环保车罚字〔2022〕076号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-09-27
顺环保车罚字〔2022〕078号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-09-27
顺环保车罚字〔2022〕060号,《北京市大气污染防治条例》第七十四条第二款,罚款,2022-09-28
顺环保监察罚字〔2022〕63号,依据《北京市大气污染防治条例》第一百零九条和《北京市生态环境行政处罚裁量基准（2022年修订版）》的规定,罚款,2022-10-10
顺环保监察罚字〔2022〕60号,依据《北京市大气污染防治条例》第一百零八条第一款和《北京市生态环境行政处罚裁量基准（2022年修订版）》的规定,罚款,2022-10-10
顺环保监察罚字〔2022〕055号,依据《北京市大气污染防治条例》第一百零九条与《北京市生态环境行政处罚裁量基准》的规定,罚款,2022-10-10
顺环保监察罚字〔2022〕064号,《北京市大气污染防治条例》第一百零八条第一款,罚款,2022-10-11
顺环保监察罚字〔2022〕051号,《北京市大气污染防治条例》第六十条,罚款,2022-10-11
顺环保车罚字〔2022〕079号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-10-13
顺环保车罚字〔2022〕080号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-10-13
顺环保车罚字〔2022〕073号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-10-17
顺环保监察罚字〔2022〕066号,《北京市大气污染防治条例》第109条,罚款,2022-10-17
顺环保车罚字〔2022〕077号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-10-17
顺环保车罚字〔2022〕084号,《中华人民共和国大气污染防治法》第五十一条第一款,罚款,2022-10-19
顺环保车罚字〔2022〕085号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-10-19
顺环保车罚字〔2022〕082号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-10-20
顺环保车罚字〔2022〕086号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-10-25
顺环保车罚字〔2022〕087号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-10-25
顺环保车罚字〔2022〕088号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-10-28
顺环保监察罚字〔2022〕068号,依据《北京市大气污染防治条例》第九十四条的规定,罚款,2022-11-03
顺环保监察罚字〔2022〕053号,依据《北京市大气污染防治条例》第一百零九条的规定,罚款,2022-11-03
顺环保监察罚字〔2022〕054号,依据《北京市大气污染防治条例》第一百零九条的规定,罚款,2022-11-03
顺环保监察罚字〔2022〕052号,依据《北京市大气污染防治条例》第一百零八条第一款的规定,罚款,2022-11-03
顺环罚字〔2022〕第5号,《中华人民共和国水污染防治法》第八十二条第一款，第一款第（二）项的规定,罚款,2022-11-04
顺环罚字〔2022〕6号,《中华人民共和国水污染物防治法》第八十二条第一款第二项的规定,罚款,2022-11-07
顺环保监察罚字〔2022〕074号,《北京市环境噪声污染防治办法》第37条,罚款,2022-11-07
顺环保监察罚字〔2022〕71号,《北京市大气污染防治条例》第一百零八条第一款的规定,罚款,2022-11-08
顺环保监察罚字〔2022〕062号,《北京市大气污染防治条例》第一百零八条第一款,罚款,2022-11-08
顺环保监察罚字〔2022〕061号,《北京市大气污染防治条例》第一百零九条,罚款,2022-11-08
顺环保车罚字〔2022〕089号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-11-11
顺环保车罚字〔2022〕102号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-11-11
顺环保车罚字〔2022〕103号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-11-11
顺环保车罚字〔2022〕104号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-11-11
顺环保车罚字〔2022〕090号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-11-14
顺环保车罚字〔2022〕091号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-11-14
顺环保车罚字〔2022〕092号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-11-14
顺环保车罚字〔2022〕094号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-11-14
顺环保车罚字〔2022〕095号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-11-14
顺环保车罚字〔2022〕096号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-11-14
顺环保车罚字〔2022〕098号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-11-14
顺环保车罚字〔2022〕100号,《中华人民共和国大气污染防治法》第五十一条第一款,罚款,2022-11-14
顺环保车罚字〔2022〕106号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-11-14
顺环保监察罚字〔2022〕073号,《北京市大气污染防治条例（2018版）》第一百零九条,罚款,2022-11-21
顺环保监察罚字（2022）072号,依据《中华人民共和国固体废物污染环境防治法》第一百一十二条第一款第（六）项及第二款的规定,罚款,2022-11-22
