实施主体,职权编号,职权名称,职权种类
区人力资源和社会保障局,C1113500,对建设单位未按约定及时足额向农民工工资专用账户拨付工程款中的人工费用且责令改正拒不改正的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1113600,对违法设置限制人力资源流动条件经责令改正不改的行为进行处罚,"没收违法所得,罚款"
,,,
区人力资源和社会保障局,C1113700,对以网络招聘服务平台方式从事网络招聘服务的人力资源服务机构未依法履行信息审查义务经责改不改的行为进行处罚,"没收违法所得,罚款"
,,,
,,,
,,,
区人力资源和社会保障局,C1113800,对人力资源服务机构不履行招聘信息、服务信息保存义务经责改不改进行行政处罚,"责令停产停业,罚款"
,,,
,,,
区人力资源和社会保障局,C1113900,对以网络招聘服务平台方式 从事网络招聘服务的人力资源服务机构不履行核验、登记义务经责改不改进行行政处罚,"责令停产停业,罚款"
,,,
,,,
区人力资源和社会保障局,C1114000,对未按规定向职工公布本单位社会保险费缴纳情况的行为进行处罚,"警告,罚款"
,,,
区人力资源和社会保障局,C1114100,对职业中介机构提供职业中介服务不成功后未向劳动者退还所收取的中介服务费的行为进行行政处罚,罚款
,,,
