是否已注销,产权单位企业名称,登记编号,设备类型,生产厂家,产权单位统一社会信用代码
有效,北京正和恒泰机械工程有限公司,京MY-T62287,塔式起重机,中联重科股份有限公司,91110228MA018UPN0B
有效,北京中达创源机械设备有限公司,京FS-S76553,施工升降机,大汉科技股份有限公司,91110111MA01M07N08
有效,北京富达建筑设备租赁有限公司,京HD-S69067,施工升降机,徐州建机工程机械有限公司,91110108793447506N
有效,北京庞源机械工程有限公司,京TZ-T54731,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京永兴达建筑机械设备租赁有限公司,京FS-T78013,塔式起重机,徐州建机工程机械有限公司,91110111562055038R
有效,北京金山建筑机械厂,京HD-S61565,施工升降机,北京金山建筑机械厂,91110108700313788L
有效,北京贏太机械施工有限责任公司,京SY-T73181,塔式起重机,广西建工集团建筑机械制造有限责任公司,91110113MA01X8A70E
有效,北京市晋塔建筑机械设备租赁有限公司,京CP-S71153,施工升降机,山西省工程机械有限公司,911101148026644231
有效,北京宏兴兴业建筑机械租赁有限公司,京DX-T81666,塔式起重机,徐州建机工程机械有限公司,91110115688380899R
有效,北京全正通机械设备租赁有限责任公司,京TZ-S62812,施工升降机,北京博邦重工机械有限公司,91110112692319214C
有效,北京乐名洋建筑机械设备租赁有限公司,京FS-T75260,塔式起重机,徐州建机工程机械有限公司,91110111571276051X
有效,北京国成伟业机械设备租赁有限公司,京HR-S80800,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京金久安建筑设备租赁有限公司,京HR-S76059,施工升降机,北京宏升卓越工程机械有限公司,911102288020872162
有效,北京星城瑞景商贸有限公司,京FS-S77619,施工升降机,黄骅市昌达起重设备有限公司,911101156923126452
有效,北京首大机械工程有限公司,京HR-S60549,施工升降机,山东鲁塔建工机械有限公司,91110116MA01ND6G83
有效,北京鲁玉通达机械设备租赁有限公司,京PG-S65737,施工升降机,黄骅市昌达起重设备有限公司,911101175585806815
有效,北京金鼎盛起重建筑机械设备有限公司,京DX-S56838,施工升降机,北京金鼎盛起重建筑机械设备有限公司,91110115666921391C
有效,北京庞源机械工程有限公司,京TZ-T70940,塔式起重机,中联重科股份有限公司,911101125568120205
有效,北京中镜建筑机械设备有限公司,京SY-T75198,塔式起重机,邢台亚泰重工机械有限公司,91110109MA01WP4U10
有效,北京庞源机械工程有限公司,京TZ-T75785,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京富达建筑设备租赁有限公司,京HD-T65161,塔式起重机,中联重科股份有限公司,91110108793447506N
有效,北京中灿世纪红机械有限公司,京FS-S76287,施工升降机,中联重科股份有限公司,91110111MA01ECW35U
有效,北京城乡中昊建设有限责任公司,京DC-T69984,塔式起重机,沈阳三洋建筑机械有限公司,91110101101119844W
有效,北京鑫地顺通机械设备租赁有限公司,京SY-T65279,塔式起重机,中联重科股份有限公司,91110113587746601L
有效,北京国成伟业机械设备租赁有限公司,京HR-S70829,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京南湖兴业经贸中心,京CY-T74572,塔式起重机,中联重科股份有限公司,91110105101765651C
有效,北京龙友设备租赁有限公司,京MT-S71468,施工升降机,北京宏升卓越工程机械有限公司,911101096343243226
有效,北京齐君设备租赁有限公司,京DX-T73146,塔式起重机,徐州建机工程机械有限公司,911101156637463991
有效,北京吉日祥和建筑机械租赁有限公司,京CY-S61387,施工升降机,河南省川达建筑机械有限公司,91110105556830034F
有效,北京金久安建筑设备租赁有限公司,京HR-S79006,施工升降机,北京宏升卓越工程机械有限公司,911102288020872162
有效,北京元吉祥建筑机械工程技术有限公司,京HD-T79730,塔式起重机,中联重科股份有限公司,91110108101941707K
有效,北京擎天立业设备租赁有限公司,京FT-T55784,塔式起重机,江西中天智能装备股份有限公司,91110106053566411Q
有效,北京天罡星机械设备租赁有限公司,京TZ-S59687,施工升降机,中联重科股份有限公司,91110112792139325U
有效,北京和众天成建筑设备租赁有限公司,京DX-W70363,物料提升机,天津市宝亮建筑机械有限公司,911101155996859306
有效,北京鸿伟鼎业建筑设备安装有限公司,京FS-S67365,施工升降机,邢台新恒成机床有限公司,91110111MA01PL6K3Q
有效,北京九方源建筑机械设备租赁有限公司,京CP-S63306,施工升降机,大汉科技股份有限公司,911101145732379612
有效,北京君立伟业建筑机械设备租赁有限公司,京FS-T75221,塔式起重机,中联重科股份有限公司,91110111553128872X
有效,北京福刚设备租赁有限公司,京TZ-S72715,施工升降机,大汉科技股份有限公司,911101125769240707
有效,北京元吉祥建筑机械工程技术有限公司,京HD-T80657,塔式起重机,中联重科股份有限公司,91110108101941707K
有效,北京贏太机械施工有限责任公司,京SY-T76882,塔式起重机,徐州建机工程机械有限公司,91110113MA01X8A70E
有效,北京新邦机械工程有限公司,京FS-T77318,塔式起重机,徐州建机工程机械有限公司,91110111059286509A
有效,北京祥顺通设备租赁有限公司,京YQ-W58485,物料提升机,衡水衡顺机械有限公司,91110229579062111F
有效,北京中灿世纪红机械有限公司,京SY-T81989,塔式起重机,徐州建机工程机械有限公司,91110111MA01ECW35U
有效,北京顺昌安泰建筑机械租赁有限公司,京FS-S65160,施工升降机,北京宏升卓越工程机械有限公司,91110106580836591K
有效,北京金宏瑞恒机械设备租赁有限公司,京FT-T62046,塔式起重机,徐州建机工程机械有限公司,91110106062750966P
有效,北京北野建筑工程有限公司,京PG-T53544,塔式起重机,三一汽车制造有限公司,91110117MA01GP6R22
有效,北京国成伟业机械设备租赁有限公司,京HR-S76074,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京鑫盈佳诺机械设备租赁有限公司,京FS-T78402,塔式起重机,中联重科股份有限公司,91110111MA01DK783E
有效,北京旭达机械设备租赁有限公司,京FS-S56119,施工升降机,天津京龙工程机械有限公司,91110111MA01BRBB1X
有效,北京金久安建筑设备租赁有限公司,京PG-S66483,施工升降机,北京宏升卓越工程机械有限公司,911102288020872162
有效,北京鹏盛机械设备租赁有限公司,京FS-T69263,塔式起重机,中联重科股份有限公司,91110111556830958N
有效,北京汇宏新远机械租赁有限公司,京FS-S70159,施工升降机,大汉科技股份有限公司,91110111MA01LPK595
有效,北京隆昌创业商贸有限公司,京FS-W60580,物料提升机,天津市宝亮建筑机械有限公司,911101116699466741
有效,北京鑫盈佳诺机械设备租赁有限公司,京FS-T65370,塔式起重机,辽宁天一重工有限公司,91110111MA01DK783E
有效,北京和众天成建筑设备租赁有限公司,京DX-S60131,施工升降机,大汉科技股份有限公司,911101155996859306
有效,北京谷润建筑安装有限公司,京PG-S67106,施工升降机,河南省川达建筑机械有限公司,91110117677439218X
