主键ID,企业名称,检查实施单位,检查时间,检查事项,检查结果,时间戳,统一社会信用代码
1d184c5b1e424d34a7b277a978bd3fcd,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,建立企业主要负责人全面负责食品安全工作制度，配备食品安全管理人员、食品安全专业技术人员。,1,5/9/2024 14:05:01,91110113757731032D
14b0b362d53648b9ba6dfaede4690d25,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,有从业人员食品安全知识培训制度，并有相关培训记录。,1,5/9/2024 14:05:01,91110113757731032D
0f25d0acd4f743eca4e717b3d5ec23ae,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,未发现聘用禁止从事食品安全管理的人员。,1,5/9/2024 14:05:01,91110113757731032D
0cfab49224e04a79bb09981410b81646,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,建立食品安全自查制度，并定期对食品安全状况进行检查评价。,1,5/9/2024 14:05:01,91110113757731032D
018d553d37904576bbac588803c20b30,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,食品添加剂标签载明“食品添加剂”字样，并标明贮存条件、生产者名称和地址、食品添加剂的使用范围、用量和使用方法。,1,5/9/2024 14:05:01,91110113757731032D
fb8d7b8f424a48c98849bb289c14cf26,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,实施不安全食品的召回，召回和处理情况向所在地市场监管部门报告。,1,5/9/2024 14:04:18,91110113757731032D
f9eb95b625394f2c9e56d9a168276724,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,建立和保存生产投料记录，包括投料品名、生产日期或批号、使用数量等。,1,5/9/2024 14:04:18,91110113757731032D
f6296f1add584e3ba57ab6959b3a5302,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,仓库温湿度符合要求。,1,5/9/2024 14:04:18,91110113757731032D
f2528b1423554610a9e86d672c4fcc24,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,准清洁作业区、清洁作业区设置合理并有效分割。有空气净化要求的，应当符合相应要求，并对空气洁净度、压差、换气次数、温度、湿度等进行监测及记录。,1,5/9/2024 14:05:01,91110113757731032D
f203f3b71b6d4199a7413d3bfafe98b7,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,生产设备设施定期维护保养，并有相应的记录。,1,5/9/2024 14:04:17,91110113757731032D
