规则：1、数据来源于双公示数据。2、日期按照决定日期选择1月日至6月30日。3、删除公示截止期小于6月30日的处罚。4、详情组合认定依据、违法事由、处罚依据、处罚内容,/,/,/,/,/,/,/,/,/,/
序号,行政相对人名称,处罚决定书文号,详情,,,,,处罚决定书决定日期,处罚公示期限,办案机关
20,中诚铭建(北京)建设工程有限公司,京建法罚（市）字[2023]第010301号,《北京市建设工程质量条例》第七十五条第一款和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1663500A010,你单位是位于平谷区府前街的平谷中心城区棚户区改造项目A地块【平谷区府前街旧城棚户区改造项目（二期）】的北小区地块、C地块（住宅及幼儿园用地部分）（1#回迁住宅等12项）的防水工程专业分包施工单位。本机关检查人员于2023年4月25日现场检查时，发现你单位在施工现场存在以下问题：1#回迁住宅1-3/F轴地下外墙-7.270m~-3.370m，两层外墙卷材防水已粘贴完成，于2023年4月10日进行了隐蔽工程验收，现场实际同层相邻两幅卷材短边搭接错缝距离为0~100mm，上下两层卷材的接缝未错开，不符合《建筑与市政工程防水通用规范》(GB55030-2022)第5.1.8.2条的要求。上述问题涉及的1#回迁住宅地基与基础分部的地下防水子分部工程的主体结构防水分项工程的合同价款为77128.50元。2023年5月17日，经本机关复核，你单位已按照要求完成整改。你单位上述行为属于在施工中不按照施工技术标准施工，未造成质量事故的行为。,《北京市建设工程质量条例》第七十五条第一款和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1663500A010,罚款,给予你单位处工程合同价款2.5%的罚款，罚款金额1928.21元的行政处罚,2023-06-28,2024-06-28,北京市住房和城乡建设委员会
21,中创乾坤(北京)建设有限公司,京建法罚（市）字[2023]第010314号,北京市建设工程施工现场管理办法》第三十一条,你单位是位于大兴区西红门镇宏旭东路2号院的大兴区宏旭东路2号院1号楼3号楼装饰装修工程的施工单位，2023年5月4日执法人员现场检查时，发现你单位在该工程存在以下问题：1、1号楼首层电梯竖井内一级配电柜引出电源直接从隔离开关下口接入，未设置漏电保护器（未采用漏电保护系统），不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.4条第3项的要求。2、1号楼10层北侧客房夹层高2.1米，临边未设置防护，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.7.1条的要求。你单位在该工程施工现场存在违反2条技术标准的行为，其中1条为强制性条文。,北京市建设工程施工现场管理办法》第三十一条,罚款,给予你单位处20000元罚款的行政处罚。,2023-06-28,2025-06-28,北京市住房和城乡建设委员会
22,北京宏福建工集团有限公司,京建法罚（市）字[2023]第010345号,《建筑工程施工许可管理办法》第十二条和《北京市住房城乡建设系统行政处罚裁量基准》C1665200A010,根据移送的案件情况，通过2023年4月25日对位于丰台区南方庄68号的金方商贸大厦进行现场检查和2023年5月31日对你单位委托代理人李遥的询问，以及调取有关资料，查明该工程建设单位为北京市农工商开发贸易公司、北京浩搏基业房地产开发有限公司、北京德瑞特经济发展公司，施工单位为你单位，你单位名称变更前为北京宏福建工开发有限公司。该工程存在以下问题：建设单位于2007年3月20日取得了《建筑工程施工许可证》（编号：[2007]施建字0360号），建设规模为44290.8平方米。2015年9月11日，建设单位申领了增加建筑面积4306.8平方米的《建设工程规划许可证》（编号：2015规建字0060号），加建部分未取得相应施工许可手续，该工程包括加建部分已完工。你单位具备该工程相应资质等级，你单位直接负责的主管人员为李遥，无其他直接责任人员。你单位存在建设单位未取得建筑工程施工许可证的情况下，违章施工的行为，违法事实清楚，证据确实、充分。,《建筑工程施工许可管理办法》第十二条和《北京市住房城乡建设系统行政处罚裁量基准》C1665200A010,罚款,对你单位责令90天内改正该违法行为，并处1万元罚款的行政处罚,2023-06-28,2024-06-28,北京市住房和城乡建设委员会
23,北京城建中南土木工程集团有限公司,京建法罚（市）字[2023]第010324号,《建筑施工企业安全生产许可证管理规定》第二十三条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1635600A020,2022年8月7日，你单位在苏州市轨道交通6号线工程土建施工项目VI-TS-11标的新昌地铁站项目发生一起一般事故。你单位于2023年4月27日接受了北京市住房和城乡建设委员会到你单位安全生产条件核查，核查中你单位存在以下问题：1、你单位未制定针对危险性较大的分部分项工程及施工现场易发生重大事故的部位、环节的预防、监控措施和应急预案，不符合《建筑施工企业安全生产许可证管理规定》第四条第（十）项的规定；2、你单位《北京城建中南土木工程集团有限公司生产安全综合应急预案》中，仅对各下属单位、各项目的应急物资装备的配备有要求，未明确总部应急救援器材设备的配备要求，且对应急物资装备数量没有明确规定，不符合《建筑施工企业安全生产许可证管理规定》第四条第（十一）项的规定。你单位在上述行为，可能导致安全生产管理上存在漏洞，从而引发安全生产事故，构成了不再具备安全生产条件的行为。你单位对以上事实予以确认。在调查过程中，你单位积极配合执法工作，主动提供证据材料，对存在的问题积极、及时进行了整改，主动消除违法行为及危害后果，具有从轻处罚的情形。,《建筑施工企业安全生产许可证管理规定》第二十三条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1635600A020,暂扣或者吊销许可证件,责令你单位10日内改正违法行为，并处暂扣安全生产许可证30日的行政处罚,2023-06-15,2025-06-15,北京市住房和城乡建设委员会
24,北京四方建欣建筑装饰工程有限公司,京建法罚（市）字[2023]第010353号,《北京市建设工程施工现场管理办法》第三十一条,北京四方建欣建筑装饰工程有限公司是位于北京市顺义区北小营镇的北京市顺义区北小营镇顺义新城第30街区30-01-02地块R2二类居住用地、30-01-04地块A33基础教育用地项目（C-1#住宅楼等12项）的外饰面装修装饰工程分包施工单位。2023年4月29日本机关现场检查时北京四方建欣建筑装饰工程有限公司在该工程施工现场存在以下问题：该工程6号楼外墙保温施工期间外墙裸露保温板高度超过3层，且外露时间超过2天，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第4.3.23条要求。上述行为违反了1条技术标准，且未违反强制性条文，属于施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《北京市建设工程施工现场管理办法》第三十一条,罚款,给予北京四方建欣建筑装饰工程有限公司处5500元罚款,2023-06-28,2024-06-28,北京市住房和城乡建设委员会
25,中航天建设工程集团有限公司,京建法罚（市）字[2023]第010292号,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A020,你单位是位于北京市海淀区的中国气象局海淀区双榆树南里二区7号楼、海淀区中关村南大街46号院综合整治施工采购项目施工总承包单位。2023年4月23日本机关对该工程现场检查时，发现你单位在施工现场存在以下问题：1.南区14号楼北侧配电箱进线电源电缆线路沿地面明设，未采用埋地或架空敷设，未采取避免机械损伤措施，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第7.2.3条的规定；2.南区14号楼北侧配电箱金属围栏未做保护接零，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.12条的规定。你单位的上述行为违反了2条技术标准，且其中1条违反了强制性条文，有可能导致事故发生，存在安全事故隐患，属于施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为，属于情节严重的情形。,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A020,罚款,对你单位处以20000.00元的罚款,2023-06-27,2025-06-27,北京市住房和城乡建设委员会
26,北京荣创岩土工程股份有限公司,京建法罚（市）字[2023]第010244号,《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项,你单位是北京经济技术开发区亦庄新城0600街区YZ00-0600-6002地块的北京东南高速公路智慧物流港项目（一期）（1#A-1冷库等17项）的基坑支护降水工程专业分包单位。该项目基坑最大开挖深度为10.81m，按照《住房城乡建设部办公厅关于实施<危险性较大的分部分项工程安全管理规定>有关问题的通知》（建办质[2018]31号）附件2第一条的规定，该基坑工程属于超过一定规模的危险性较大的分部分项工程。2023年3月30日执法人员对该项目进行现场检查时，正在进行土方开挖及基坑支护施工，你单位自2022年12月5日开挖之日起未对该基坑周边地面沉降、基坑东侧支护桩深层水平位移、基坑东侧现状市政道路沉降进行监测，不符合《基坑支护及止水工程设计设计说明》第六条第6.2项第（2）目的要求。你单位上述行为可能会导致安全事故的发生，属于未按照规定进行施工监测的行为。该行为直接负责的主管人员是刘宏运，其他直接责任人员是吴波。,《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项,罚款,给予你单位处20000.00元罚款的行政处罚。  ,2023-06-15,2023-12-15,北京市住房和城乡建设委员会
27,北京中青建设有限公司,京建法罚（市）字[2023]第010289号,《中华人民共和国建筑法》第六十五条第四款、《建筑业企业资质管理规定》第三十六条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1666800B000,"根据案件移送的情况，经立案调查,查明你单位于2022年5月申请建筑装修装饰工程专业承包贰级升壹级时，提交了湖北省荆州“君信·国际御景二期（6#、7#、10#楼及地下室）装饰装修分包工程”、“阳光尚居装饰装修第二合同段（5#、6#、8#、11#）”两项虚假的工程业绩材料，并于2022年7月11日取得了建筑装修装饰工程专业承包壹级资质。你单位存在以欺骗手段取得企业资质证书的行为。本案无减轻、从轻或从重处罚情节。",《中华人民共和国建筑法》第六十五条第四款、《建筑业企业资质管理规定》第三十六条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1666800B000,警告;罚款,责令北京中青建设有限公司在15天内改正违法行为，给予警告，处3万元罚款，3年内不得再次申请建筑装修装饰工程专业承包壹级资质的行政处罚,2023-06-19,2023-09-19,北京市住房和城乡建设委员会
28,北京瑞佳物业管理有限公司,京建法罚（市）字[2023]第010279号,《北京市住房租赁条例》第六十七条第(四）项以及《北京市住房城乡建设系统行政处罚裁量基准》C1672200B010,经查，你单位北京瑞佳物业管理有限公司作为住房租赁企业，于2023年3月15日与***就北京市通州区***签订了《房屋出租委托合同》，提供住房租赁服务，该单业务从业人员为**。经进一步调查，**为你单位北京瑞佳物业管理有限公司的法定代表人。截至2023年5月6日本机关现场检查时，你单位北京瑞佳物业管理有限公司仍未为**办理从业信息卡。你单位北京瑞佳物业管理有限公司上述行为已构成未按规定实名从业，违反了《北京市住房租赁条例》第三十一条第一款的规定。北京市住房和城乡建设委员会于2023年5月6日向你单位北京瑞佳物业管理有限公司下达了责令改正通知书（编号为京建法改（市）字[2023]第010141号），责令你单位北京瑞佳物业管理有限公司于2023年5月12日前改正该行为。2023年5月15日，经本机关现场复核，你单位北京瑞佳物业管理有限公司已在规定期限内为从业人员**办理了从业信息卡，复核合格。你单位北京瑞佳物业管理有限公司已在规定期限内改正上述违法行为，且违法情节一般，符合《北京市住房城乡建设系统行政处罚裁量基准表》C1672200B010的规定，在调查过程中未发现你单位北京瑞佳物业管理有限公司有减轻、从轻或从重的违法情节。,《北京市住房租赁条例》第六十七条第(四）项以及《北京市住房城乡建设系统行政处罚裁量基准》C1672200B010,罚款,给予你单位处以12500元罚款的行政处罚,2023-05-30,2023-11-30,北京市住房和城乡建设委员会
29,北京京瑞嘉业房地产经纪有限公司,京建法罚（市）字[2023]第010172号,《北京市住房租赁条例》第六十九条第一款第三项,你公司作为房地产经纪机构于2022年10月8日为坐落于北京市东城区东四街道办事处东四七条7号房屋（房屋产权证书编号为京房权证东私字第C09162号）提供了居间服务。你公司在该房屋租赁合同签约过程中，存在未通过北京市住房和城乡建设部门建立的住房租赁管理服务平台完成你公司提供服务而签订的住房租赁合同，自动提交登记备案的违法行为。,《北京市住房租赁条例》第六十九条第一款第三项,罚款,处以3万元罚款,2023-05-25,2023-11-25,北京市住房和城乡建设委员会
30,北京西飞世纪门窗幕墙工程有限责任公司,京建法罚（市）字[2023]第010285号,《《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A020,你单位是位于北京市海淀区的“海淀北部地区整体开发”苏家坨镇HD00-0303-6031、6032、6033地块（中关村环保科技示范园）F1住宅混合公建用地、A33基础教育用地项目（10#幼儿园等3项）、（7#住宅楼等7项）、（6#办公楼）建筑幕墙工程的专业分包单位。2023年5月2日本机关对该工程现场检查时，发现你单位在施工现场存在以下安全事故隐患：1.1#住宅楼屋面西侧吊篮分配电箱内一吊篮电源引出的PE线脱落，未通过PE线端子板连接，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.11条第二款规定；2.1#住宅楼屋面西侧同一开关箱直接接入两个用电设备，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.3条规定；3.1#住宅楼屋面临时用电电缆线路沿地面明敷设未采取保护措施，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.6条规定。你单位的上述行为违反了3条技术标准，且其中2条违反了强制性条文，有可能导致事故发生，存在安全事故隐患，属于施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为，属于情节严重的情形。在调查过程中，未发现你单位有适用减轻、从轻或从重的情节。,《《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A020,罚款,给予你单位处以20000.00元的罚款,2023-06-02,2025-06-02,北京市住房和城乡建设委员会
31,北京华瑞鸿成建筑工程有限公司,京建法罚（市）字[2023]第010270号,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A010,东坝北西区域B地块棚户区改造安置房项目（5-1#-5#住宅楼，5-6#-7#配电室，5-8#人防口部管理用房，9-13号人防主要出入口，A005-D1地下车库）位于朝阳区东坝乡，由你单位北京华瑞鸿成建筑工程有限公司负责外墙保温专业分包施工。2023年4月22日现场检查时，发现外墙保温分包施工单位北京华瑞鸿成建筑工程有限公司在施工现场存在以下问题：5-1#住宅楼外墙保温采用B1级挤塑聚苯板，西立面地上一层至地上二十一层外墙保温已施工完毕，均未做保护面层，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第4.3.23条的要求。上述行为违反了1条技术标准，未违反强制性条文，属于施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A010,罚款,给予你单位处5500.00元罚款的行政处罚,2023-06-14,2024-06-14,北京市住房和城乡建设委员会
32,重庆中博建总房屋建筑工程有限公司,京建法罚（市）字[2023]第010216号,《中华人民共和国安全生产法》第九十七条第（一）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1602200A010,你单位是位于北京市海淀区的海淀区西八里庄0711-652、640、641地块B4综合性商业金融用地项目（B#办公楼等5项）中的一标段的劳务分包单位。2023年3月22日本机关对该工程现场检查时，发现你单位在施工现场存在以下安全事故隐患：你单位已进场施工人员175人，现场仅设置1名专职安全安全员（李本利），不符合《建筑施工企业安全生产管理机构设置及专职安全生产管理人员配备办法》第十四条第（二）项“……，劳务分包单位施工人员50-200人的，应当配备2名专职安全生产管理人员，……，并根据所承担的分部分项工程施工危险实际情况增加，不得少于工程施工人员总人数的5‰”的规定，你单位存在未按照规定配齐专职安全生产管理人员的行为。你单位在该工程的安全管理力量不足，有可能导致其安全管理工作上存在漏洞，存在安全隐患。在调查过程中，未发现你单位有适用减轻、从轻或从重的情节。,《中华人民共和国安全生产法》第九十七条第（一）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1602200A010,罚款,给予你单位处25000.00元的罚款,2023-05-25,2024-05-25,北京市住房和城乡建设委员会
