序号,企业名称,申请事项,业务流水号,,,,,,,,,,,,,,,,,
179,鼎诚建设(北京)有限公司,(市)建筑业企业首次申请资质,0014190123001934,,,,,,,,,,,,,,,,,
180,锦程时代(北京)建筑工程有限公司,(区)建筑业企业首次申请资质,0014190717000516,,,,,,,,,,,,,,,,,
181,北京航天华诺建筑工程有限公司,(市)建筑业企业增项资质申请,0014180906003114,,,,,,,,,,,,,,,,,
182,北京仕麟建筑地基工程有限公司,建筑业企业首次申请资质,0014190329000256,,,,,,,,,,,,,,,,,
183,北京安顺泰达建设工程有限公司,建筑业企业增项资质申请,0014190614002020,,,,,,,,,,,,,,,,,
184,北京力元百川机电设备工程有限公司,(区)建筑业企业首次申请资质,0014180706001413,,,,,,,,,,,,,,,,,
185,北京华丰逸彤建设工程有限公司,(区)建筑业企业首次申请资质,0014190323000294,,,,,,,,,,,,,,,,,
186,北京新瑞恒业建筑有限公司,建筑业企业首次申请资质,0014190320005027,,,,,,,,,,,,,,,,,
187,北京众盛伟弘建筑劳务有限公司,建筑业企业首次申请资质,0014190321003093,,,,,,,,,,,,,,,,,
188,北京金地隆源建筑工程有限公司,建筑业企业首次申请资质,0014190312007749,,,,,,,,,,,,,,,,,
189,北京盛鑫建业市政工程有限公司,(区)建筑业企业首次申请资质,0014180712003513,,,,,,,,,,,,,,,,,
190,北京瑞智汇嘉建筑工程有限公司,(区)建筑业企业首次申请资质,0014190116001183,,,,,,,,,,,,,,,,,
191,北京亿盛合建设工程有限公司,(区)建筑业企业首次申请资质,0014190226005190,,,,,,,,,,,,,,,,,
192,北京国能中电节能环保技术股份有限公司,建筑业企业升级资质申请,0014170810001553,,,,,,,,,,,,,,,,,
193,北京渝祥建筑装饰工程有限公司,(市)建筑业企业首次申请资质,0014180326001961,,,,,,,,,,,,,,,,,
194,北京惠众易鑫电气工程有限公司,(市)建筑业企业首次申请资质,0014190417002515,,,,,,,,,,,,,,,,,
195,中昊鼎盛工程技术研究院(北京)有限公司,建筑业企业首次申请资质,0014190418006284,,,,,,,,,,,,,,,,,
196,北京润华通信工程有限公司,建筑业企业升级资质申请,0014190518000683,,,,,,,,,,,,,,,,,
197,北京和圣建筑工程有限公司,(市)建筑业企业首次申请资质,0014190610006783,,,,,,,,,,,,,,,,,
198,北京牛尔宏泰新能源科技发展有限公司,(市)建筑业企业增项资质申请,0014181126004446,,,,,,,,,,,,,,,,,
199,北京鼎维科技有限公司,(市)建筑业企业首次申请资质,0014181226003682,,,,,,,,,,,,,,,,,
200,北京博元美信建设工程有限公司,(市)建筑业企业首次申请资质,0014190531004457,,,,,,,,,,,,,,,,,
201,北京恒都建设有限公司,(区)建筑业企业增项资质申请,0014180814001042,,,,,,,,,,,,,,,,,
202,北京悦宁建筑工程有限公司,(市)建筑业企业首次申请资质,0014190701000339,,,,,,,,,,,,,,,,,
203,华诚建设集团有限公司,(市)建筑业企业资质增项资质申请,0014180517000186,,,,,,,,,,,,,,,,,
204,北京尚品润源环境科技有限公司,(区)建筑业企业首次申请资质,0014190225005830,,,,,,,,,,,,,,,,,
205,中科巨匠建筑科技有限公司,(市)建筑业企业增项资质申请,0014190116002634,,,,,,,,,,,,,,,,,
206,北京信创市政工程有限公司,(区)建筑业企业首次申请资质,0014180822000253,,,,,,,,,,,,,,,,,
207,北京睿和恒悦建筑机械工程有限公司,建筑业企业首次申请资质,0014180518000031,,,,,,,,,,,,,,,,,
208,中电建建筑集团有限公司,建筑业企业增项资质申请,0014181203000617,,,,,,,,,,,,,,,,,
209,北京润华通信工程有限公司,(市)建筑业企业增项资质申请,0014190715000761,,,,,,,,,,,,,,,,,
210,北京华宇正方建筑工程有限公司,(市)建筑业企业首次申请资质,0014181226002096,,,,,,,,,,,,,,,,,
211,北京港源建筑装饰工程有限公司,建筑业企业增项资质申请,0014190109003974,,,,,,,,,,,,,,,,,
212,北京爱思济业平工程咨询有限公司,工程造价咨询企业延续资质,0014180705001692,,,,,,,,,,,,,,,,,
213,中竞发工程管理咨询有限公司,工程造价咨询企业延续,0014180611000709,,,,,,,,,,,,,,,,,
214,北京北华清创环境科技有限公司,建筑业企业首次申请资质,0014190122002282,,,,,,,,,,,,,,,,,
215,北京中敏建设有限公司,(区)建筑业企业首次申请资质,0014190614005674,,,,,,,,,,,,,,,,,
216,北京京盛百厦建设工程有限公司,(市)建筑业企业首次申请资质,0014180423002465,,,,,,,,,,,,,,,,,
