标称生产者信息,被抽样单位信息,产品信息,检验结果,主键,更新时间
北京稻香村食品有限责任公司食品厂,北京稻香村食品有限责任公司食品厂,"蛋制品,酱腌菜,冷加工糕点,其他方便食品,其他粮食加工品,其他食品,热加工糕点,热加工熟肉制品,食品馅料,熟制水产品,速冻调制食品,速冻面米食品,畜禽水产罐头,预制调理肉制品",完全合格,110114-2023-1-001613,26/10/2023 10:00:00
北京中道国方科技发展有限公司,北京中道国方科技发展有限公司,"固体饮料,蜜饯",完全合格,110114-2023-1-001789,26/10/2023 10:00:00
北京中道国方科技发展有限公司,北京中道国方科技发展有限公司,"固体饮料,蜜饯",完全合格,110114-2023-1-001791,26/10/2023 10:00:00
北京瀛厚德食品有限责任公司,北京瀛厚德食品有限责任公司,"炒货食品及坚果制品,冷加工糕点,蜜饯,热加工糕点,热加工熟肉制品",完全合格,110114-2023-1-002095,3/11/2023 22:00:20
北京三元食品股份有限公司乳品四厂,北京三元食品股份有限公司乳品四厂,其他乳制品,完全合格,110114-2023-1-002116,3/11/2023 22:00:52
北京芙蓉斋食品有限公司,北京芙蓉斋食品有限公司,"冷冻饮品,冷加工糕点,热加工糕点",完全合格,110114-2023-1-002202,7/11/2023 22:00:25
北京黑六牧业科技有限公司,北京黑六牧业科技有限公司,"热加工熟肉制品,速冻调制食品,预制调理肉制品",完全合格,110114-2023-1-002441,15/11/2023 22:00:19
北京同仁堂健康药业股份有限公司食品分公司,北京同仁堂健康药业股份有限公司食品分公司,"非即食水产品,固体饮料,其他罐头,糖果",完全合格,110115-2022-1-000612,26/10/2023 10:00:00
北京优嘉食品有限公司,北京优嘉食品有限公司,"饼干,热加工糕点",完全合格,110115-2022-1-000731,26/10/2023 10:00:00
北京市雄飞百年食品厂,北京市雄飞百年食品厂,速冻面米食品,完全合格,110115-2022-1-000737,26/10/2023 10:00:00
百事食品（中国）有限公司北京桂格分厂,百事食品（中国）有限公司北京桂格分厂,膨化食品,完全合格,110115-2022-1-000741,26/10/2023 10:00:00
